f312TRRT, 05.11.2022 17:00, West Ham, Crystal Palace, 15, Scheduled, 0, 0, X
fBN1Ku2r, 08.04.2023 16:00, Leicester, Bournemouth, 30, Scheduled, 0, 0, X
fHtyrRtN, 12.11.2022 17:00, Nottingham, Crystal Palace, 16, Scheduled, 0, 0, X
fJ9cEAvG, 04.02.2023 17:00, Everton, Arsenal, 22, Scheduled, 0, 0, X
fJX32hO6, 02.01.2023 17:00, Leicester, Fulham, 19, Scheduled, 0, 0, X
fLfgm70C, 16.09.2022 21:00, Nottingham, Fulham, 8, Scheduled, 0, 0, X
fNNFJjb5, 29.10.2022 18:30, Fulham, Everton, 14, Scheduled, 0, 0, X
fNqoZVch, 05.11.2022 17:00, Everton, Leicester, 15, Scheduled, 0, 0, X
fP6zKpzb, 27.08.2022 16:00, Brentford, Everton, 4, Scheduled, 0, 0, X
fRc3vCHs, 10.09.2022 13:30, Fulham, Chelsea, 7, Scheduled, 0, 0, X
fVkmWx1f, 15.04.2023 16:00, Nottingham, Manchester Utd, 31, Scheduled, 0, 0, X
fZ9ob771, 13.05.2023 16:00, Manchester Utd, Wolves, 36, Scheduled, 0, 0, X
fi3HfY09, 06.05.2023 16:00, Fulham, Leicester, 35, Scheduled, 0, 0, X
fmirdyqp, 08.10.2022 16:00, Newcastle, Brentford, 10, Scheduled, 0, 0, X
fqHfyGP7, 26.12.2022 17:00, Southampton, Brighton, 17, Scheduled, 0, 0, X
fs8NB20R, 20.10.2022 20:30, Fulham, Aston Villa, 12, Scheduled, 0, 0, X
fwO33mRj, 18.03.2023 17:00, Wolves, Leeds, 28, Scheduled, 0, 0, X
fyXzqMq7, 25.02.2023 17:00, Tottenham, Chelsea, 25, Scheduled, 0, 0, X
hCzKn4pr, 25.02.2023 17:00, Leeds, Southampton, 25, Scheduled, 0, 0, X
hIByqh9Q, 11.09.2022 17:30, Crystal Palace, Manchester Utd, 7, Scheduled, 0, 0, X
hYBPSlxC, 21.01.2023 17:00, Liverpool, Chelsea, 21, Scheduled, 0, 0, X
hbF29iI7, 31.08.2022 20:30, Manchester City, Nottingham, 5, Scheduled, 0, 0, X
hhMByPJj, 12.11.2022 17:00, Wolves, Arsenal, 16, Scheduled, 0, 0, X
